service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250609,20250613
2,1,1,1,1,1,0,0,20250616,20250618
3,1,1,1,1,1,0,0,20250620,20250621
4,1,1,1,1,1,0,0,20250623,20250628
5,0,0,0,0,0,1,1,20250603,20250618
6,0,0,0,0,0,1,1,20250603,20261231
7,0,0,0,0,0,1,1,20250608,20250608
8,0,0,0,0,0,1,1,20250614,20250615
9,0,0,0,0,0,1,1,20250619,20250619
10,0,0,0,0,0,1,1,20250620,20261231
11,0,0,0,0,0,1,1,20250622,20250622
12,0,0,0,0,0,1,1,20250629,20261231
