shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
2,-73.831327,40.583889,1
2,-73.833434,40.58333,2
2,-73.834584,40.58296,3
2,-73.835342,40.582718,4
2,-73.835524,40.58266,5
2,-73.836114,40.58248,6
2,-73.836364,40.5824,7
2,-73.836734,40.58228,8
2,-73.837414,40.58206,9
2,-73.837894,40.58191,10
2,-73.838134,40.58185,11
2,-73.838394,40.58177,12
2,-73.838234,40.58145,13
2,-73.837274,40.57979,14
2,-73.838094,40.57951,15
2,-73.838924,40.57924,16
2,-73.839744,40.57896,17
2,-73.840564,40.57869,18
2,-73.841384,40.57841,19
2,-73.842214,40.57814,20
2,-73.843054,40.57788,21
2,-73.843874,40.57759,22
2,-73.844694,40.57731,23
2,-73.845504,40.57698,24
2,-73.845992,40.576817,25
2,-73.846374,40.57669,26
2,-73.847184,40.57635,27
2,-73.848014,40.57601,28
2,-73.848844,40.57567,29
2,-73.849634,40.57535,30
2,-73.850404,40.57502,31
2,-73.851224,40.5747,32
2,-73.852024,40.57437,33
2,-73.852794,40.57405,34
2,-73.853604,40.57372,35
2,-73.854394,40.5734,36
2,-73.855184,40.57307,37
2,-73.855974,40.57274,38
2,-73.856774,40.57242,39
2,-73.857584,40.5721,40
2,-73.858374,40.57178,41
2,-73.858474,40.57174,42
2,-73.858527,40.571718,43
2,-73.859274,40.57141,44
2,-73.860064,40.57108,45
2,-73.860854,40.57075,46
2,-73.861654,40.57043,47
2,-73.862444,40.57011,48
2,-73.862554,40.57007,49
2,-73.863334,40.56974,50
2,-73.864124,40.56941,51
2,-73.864694,40.56922,52
2,-73.865094,40.56911,53
2,-73.865504,40.56904,54
2,-73.865814,40.56901,55
2,-73.866114,40.56902,56
2,-73.866544,40.5691,57
2,-73.866934,40.56921,58
2,-73.867104,40.5693,59
2,-73.867304,40.56932,60
2,-73.867464,40.56931,61
2,-73.867714,40.56925,62
2,-73.867944,40.56912,63
2,-73.868014,40.56906,64
2,-73.868114,40.56893,65
2,-73.868144,40.56883,66
2,-73.868154,40.56874,67
2,-73.868264,40.56852,68
2,-73.868584,40.5681,69
2,-73.868754,40.56793,70
2,-73.869044,40.56773,71
2,-73.869394,40.56756,72
2,-73.86961,40.567494,73
2,-73.869854,40.56742,74
2,-73.871484,40.56687,75
2,-73.871854,40.56674,76
2,-73.872244,40.5666,77
2,-73.872804,40.5664,78
2,-73.872994,40.56636,79
2,-73.873104,40.5663,80
2,-73.873134,40.56619,81
2,-73.873044,40.5661,82
2,-73.872996,40.566093,83
2,-73.872884,40.56608,84
2,-73.872664,40.56615,85
2,-73.872418,40.566234,86
4,-73.873366,40.565918,1
4,-73.871396,40.56658,2
4,-73.869746,40.56715,3
4,-73.868346,40.56762,4
4,-73.867786,40.56784,5
4,-73.867116,40.5681,6
4,-73.865326,40.5688,7
4,-73.864066,40.56931,8
4,-73.863276,40.56963,9
4,-73.862486,40.56995,10
4,-73.862376,40.56999,11
4,-73.861596,40.57033,12
4,-73.860796,40.57065,13
4,-73.860006,40.57098,14
4,-73.859206,40.5713,15
4,-73.858416,40.57163,16
4,-73.858316,40.57167,17
4,-73.857525999999993,40.572,18
4,-73.856726,40.57232,19
4,-73.855936,40.57266,20
4,-73.855136,40.57298,21
4,-73.854346,40.5733,22
4,-73.853556,40.57364,23
4,-73.852736,40.57396,24
4,-73.851956,40.57429,25
4,-73.851166,40.57461,26
4,-73.850356,40.57494,27
4,-73.849576,40.57526,28
4,-73.848786,40.57558,29
4,-73.847976,40.57592,30
4,-73.847136,40.57627,31
4,-73.846306,40.5766,32
4,-73.846206,40.57665,33
4,-73.845506,40.57698,34
4,-73.844696,40.57731,35
4,-73.843876,40.57759,36
4,-73.843056,40.57788,37
4,-73.842216,40.57814,38
4,-73.841386,40.57841,39
4,-73.840566,40.57869,40
4,-73.839746,40.57896,41
4,-73.838926,40.57924,42
4,-73.838096,40.57951,43
4,-73.837276,40.57979,44
4,-73.837126,40.57984,45
4,-73.836716,40.57996,46
4,-73.836276,40.5801,47
4,-73.835426,40.58032,48
4,-73.834576,40.58055,49
4,-73.833726,40.58079,50
4,-73.832946,40.58101,51
4,-73.832876,40.58103,52
4,-73.832776,40.58105,53
4,-73.832446,40.58113,54
4,-73.832026,40.58125,55
4,-73.831926,40.58128,56
4,-73.830876,40.58157,57
4,-73.830766,40.5816,58
4,-73.830106,40.581791,59
4,-73.829906,40.58185,60
4,-73.830226,40.58259,61
4,-73.830676,40.58347,62
4,-73.830906,40.5839,63
4,-73.830946,40.58398,64
4,-73.831176,40.58393,65
4,-73.831726,40.583784,66
7,-73.831596,40.584228,1
7,-73.831915,40.585013,2
7,-73.8539,40.583804,3
7,-73.867549,40.577943,4
7,-73.930443,40.564731,5
7,-74.004559,40.565564,6
7,-74.014286,40.570976,7
7,-74.038927,40.605163,8
7,-74.041928,40.612173,9
7,-74.044541,40.621688,10
7,-74.044389,40.627618,11
7,-74.041225,40.639108,12
7,-74.032925,40.649032,13
7,-74.026436,40.646276,14
7,-74.032925,40.649032,15
7,-74.0241,40.659939,16
7,-74.021473,40.678334,17
7,-74.010358,40.690153,18
7,-74.004183,40.70023,19
7,-74.005261,40.702377,20
7,-74.006693,40.703647,21
8,-74.006693,40.703647,1
8,-74.005261,40.702377,2
8,-74.004183,40.70023,3
8,-74.010357,40.690154,4
8,-74.021473,40.678334,5
8,-74.0241,40.659939,6
8,-74.032925,40.649032,7
8,-74.026436,40.646276,8
8,-74.032925,40.649032,9
8,-74.041224,40.639108,10
8,-74.044389,40.627618,11
8,-74.044541,40.621688,12
8,-74.041928,40.612174,13
8,-74.038926,40.605161,14
8,-74.014286,40.570976,15
8,-74.004559,40.565564,16
8,-73.930443,40.564731,17
8,-73.867549,40.577943,18
8,-73.8539,40.583804,19
8,-73.831915,40.585013,20
8,-73.831596,40.584228,21
15,-74.006691,40.703647,1
15,-74.005257,40.702377,2
15,-74.002425,40.703235,3
15,-73.99078,40.707403,4
15,-73.980687,40.7081,5
15,-73.975399,40.710173,6
15,-73.972972,40.712371,7
15,-73.96981,40.721495,8
15,-73.970088,40.731805,9
15,-73.97292,40.731979,10
15,-73.970088,40.731805,11
15,-73.968519,40.743278,12
15,-73.970729,40.743912,13
15,-73.968519,40.743278,14
15,-73.956277,40.758067,15
15,-73.939707,40.777845,16
15,-73.94217,40.777475,17
15,-73.939707,40.777845,18
15,-73.926735,40.779768,19
15,-73.911054,40.792827,20
15,-73.900542,40.797578,21
15,-73.890676,40.800382,22
15,-73.88405,40.799567,23
15,-73.872567,40.797684,24
15,-73.847927,40.802733,25
15,-73.848701,40.804202,26
15,-73.847927,40.802733,27
15,-73.837793,40.804148,28
15,-73.837303,40.805455,29
16,-74.074231,40.646072,1
16,-74.072702,40.647004,2
16,-74.060555,40.651994,3
16,-74.039365,40.676079,4
16,-74.029003,40.694722,5
16,-74.02392,40.715407,6
16,-74.017775,40.715029,7
16,-74.02392,40.715407,8
16,-74.013673,40.751275,9
16,-74.006608,40.761325,10
16,-74.004075,40.760323,11
27,-73.882669,40.567389,1
27,-73.882458,40.56702,2
27,-73.882088,40.56639,3
27,-73.881968,40.56657,4
27,-73.88188,40.566688,5
27,-73.881758,40.56685,6
27,-73.881678,40.56692,7
27,-73.881528,40.56702,8
27,-73.881368,40.56709,9
27,-73.881168,40.56713,10
27,-73.880788,40.56714,11
27,-73.880418,40.5671,12
27,-73.880138,40.56712,13
27,-73.879878,40.56716,14
27,-73.879698,40.56721,15
27,-73.879338,40.56741,16
27,-73.879038,40.56753,17
27,-73.878698,40.56768,18
27,-73.878358,40.56782,19
27,-73.877448,40.56823,20
27,-73.876628,40.56862,21
27,-73.874708,40.56954,22
27,-73.874558,40.56961,23
27,-73.872128,40.57077,24
27,-73.871728,40.57094,25
27,-73.871408,40.57104,26
27,-73.871028,40.5711,27
27,-73.870488,40.57112,28
27,-73.870328,40.57112,29
27,-73.869788,40.571,30
27,-73.869518,40.57092,31
27,-73.869248,40.5708,32
27,-73.868968,40.57064,33
27,-73.868788,40.57052,34
27,-73.868528,40.57021,35
27,-73.868338,40.56992,36
27,-73.868178,40.56962,37
27,-73.868118,40.5694,38
27,-73.868118,40.56893,39
27,-73.868148,40.56883,40
27,-73.868158,40.56874,41
27,-73.868268,40.56852,42
27,-73.868588,40.5681,43
27,-73.868758,40.56793,44
27,-73.869048,40.56773,45
27,-73.869398,40.56756,46
27,-73.869858,40.56742,47
27,-73.871488,40.56687,48
27,-73.871858,40.56674,49
27,-73.872248,40.5666,50
27,-73.872808,40.5664,51
27,-73.872998,40.56636,52
27,-73.873108,40.5663,53
27,-73.873138,40.56619,54
27,-73.873113,40.566164,55
27,-73.873138,40.56619,56
27,-73.873048,40.5661,57
27,-73.872888,40.56608,58
27,-73.869748,40.56715,59
27,-73.868348,40.56762,60
27,-73.867788,40.56784,61
27,-73.867118,40.5681,62
27,-73.865328,40.5688,63
27,-73.864068,40.56931,64
27,-73.863278,40.56963,65
27,-73.862488,40.56995,66
27,-73.862378,40.56999,67
27,-73.861598,40.57033,68
27,-73.860798,40.57065,69
27,-73.860008,40.57098,70
27,-73.859208,40.5713,71
27,-73.858418,40.57163,72
27,-73.858318,40.57167,73
27,-73.857528,40.572,74
27,-73.856728,40.57232,75
27,-73.855938,40.57266,76
27,-73.855138,40.57298,77
27,-73.854348,40.5733,78
27,-73.853558,40.57364,79
27,-73.852738,40.57396,80
27,-73.851958,40.57429,81
27,-73.851168,40.57461,82
27,-73.850358,40.57494,83
27,-73.849578,40.57526,84
27,-73.848788,40.57558,85
27,-73.847978,40.57592,86
27,-73.847138,40.57627,87
